Fiscal Year,Account Type,Department,Division,ORG_NAME,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Debt Service,9930,Paying Agent Fees,80287
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Debt Service,9930,Paying Agent Fees,123998
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Debt Service,9930,Paying Agent Fees,750
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Other Financing,9953,Operating Trans-Capt Projects,50000
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Other Financing,9955,Operating Trans-Misc,84424
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Financing,9959,Appropriation Lapse,-13842
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Taxes,4150,Allowance for Charge Backs,-303209
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2040,Vital Streets Operating,Taxes,4450,Penalty & Interest on Taxes,47698
FY17,Revenue,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Licenses & Permits,4902,Building Permits,893150
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Licenses & Permits,4916,Tapping Permits,20000
FY17,Revenue,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,State Grants,5450,Drug Case Information Management Account,4000
FY17,Revenue,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Charges for Services,6131,Processing Fees,107310
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,16
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6152,Integrated Connection Fees,966818
FY17,Revenue,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6261,Administration Services,631649
FY17,Revenue,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Charges for Services,6261,Administration Services,143110
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6265,Services for Contractors,51000
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Personal Services,7115,Retiree Health Care-OPEB,43369
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,61915
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,62402
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,211013
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,141222
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,257272
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,8510,Postage,1000
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,8510,Postage,4000
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,8510,Postage,1500
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8800,Community Promotion,1000
FY17,Expense,Administrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8800,Community Promotion,500
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2482,DDA School Tax Increment,Other Services and Charges,8800,Community Promotion,2100895
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,8800,Community Promotion,50000
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,250
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,1051
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Personal Services,7120,Retirement Fund Contribution,44202
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7120,Retirement Fund Contribution,736652
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,4000
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,6000
FY17,Expense,Executive Office,Executive Office,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,429
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,365
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,887
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,9110,Other Travel & Training,3000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9100,Professional Development,12000
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9100,Professional Development,2650
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Supplies,7520,Supplies,17700
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,89694
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,24200
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,8010,Contractual Services,300000
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8400,Insurance Premiums,11868
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Other Services and Charges,8450,Claims,5851
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Personal Services,7110,Hospitalization Insurance,57778
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,27503
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,77067
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,82749
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Personal Services,7115,Retiree Health Care-OPEB,5285
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Personal Services,7115,Retiree Health Care-OPEB,87925
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,9410,Equipment Rentals or Lease,1220
FY17,Expense,Administrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,41305
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,58358
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,486673
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,117568
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,3473
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,25042
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,112652
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,9545
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,9450,311 Call Center Services,190
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Services and Charges,9460,Engineering Services,2500
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Services and Charges,9470,Employee Parking,34660
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,35270
FY17,Expense,Attorney's Office,Attorney,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,77357
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Services and Charges,9450,311 Call Center Services,985
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6423,Sale of Scrap Material,21000
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6434,Unmetered Water Sales,100000
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2040,Vital Streets Operating,Investment Income & Rentals,6651,Interest on Investment,22257
FY17,Revenue,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Investment Income & Rentals,6651,Interest on Investment,-2268
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Investment Income & Rentals,6651,Interest on Investment,-20736
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Other Financing,9952,Operating Transfers-A87 Cost,100689
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Financing,9952,Operating Transfers-A87 Cost,181323
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Financing,9959,Appropriation Lapse,-592969
FY17,Expense,Executive Office,Executive Office,1000,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,75
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,4150
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Supplies,7910,Subscriptions and Publications,100
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Other Services and Charges,8010,Contractual Services,20302
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Other Services and Charges,8010,Contractual Services,798204
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8240,Fees,1000
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,8500,Telephone,4500
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,868
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,3000
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,9010,Advertising - Any Media,750
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9100,Professional Development,7500
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,9110,Other Travel & Training,5000
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Other Services and Charges,9150,Memberships,3000
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9180,Water,23113
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Personal Services,7135,Unemployment Compensation,1222
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Personal Services,7135,Unemployment Compensation,61
FY17,Revenue,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Other Financing Sources,6991,Operating Transfers-Subsidy,4299400
FY17,Revenue,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Financing Sources,6991,Operating Transfers-Subsidy,5100000
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Financing Sources,6995,Operating Transfers-Misc,970000
FY17,Revenue,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Revenues,6761,Reimbursements,5200
FY17,Revenue,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Revenues,6771,Claims-Damage-Accident Billings,194738
FY17,Revenue,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Revenues,6901,Miscellaneous Other Revenue,60
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Personal Services,7110,Hospitalization Insurance,1229
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,263523
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7025,Acting Assignment,5075
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7025,Acting Assignment,1200
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7055,Time & One-half,90000
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7055,Time & One-half,650000
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,6175
FY17,Expense,Community Services,Parks and Recreation,1000,1000 - Administration,2080,Parks & Recreation,Other Services and Charges,9410,Equipment Rentals or Lease,5620
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,4452
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,895
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Personal Services,7020,Full Time Employees,800115
FY17,Expense,Community Services,Parks and Recreation,1000,1000 - Administration,2080,Parks & Recreation,Personal Services,7020,Full Time Employees,512188
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Personal Services,7020,Full Time Employees,346416
FY17,Revenue,Authorities,Corridor Improvement Districts,1000,1000 - Administration,7813,Uptown Corridor Improvement District,Investment Income & Rentals,6651,Interest on Investment,142
FY17,Revenue,Design & Development,Business Improvement District,1000,1000 - Administration,2520,Uptown Business Improv Dist,Other Revenues,6721,Special Assessments,90243
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Revenues,6723,Interest-Penalties on Special Assessment,10000
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Revenues,6723,Interest-Penalties on Special Assessment,7977
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2040,Vital Streets Operating,Other Revenues,6743,Restricted Contributions,751159
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Personal Services,7040,Temporary Noncontract Employees,3000
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7040,Temporary Noncontract Employees,181500
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7105,Employers FICA,25555
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,9470,Employee Parking,5000
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Other Services and Charges,9470,Employee Parking,29599
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9480,Computer Services-from IT,51499
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7105,Employers FICA,60654
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,9480,Computer Services-from IT,120125
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Services and Charges,9630,Property Taxes,500
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Capital Outlays,9710,Land,900000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Personal Services,7105,Employers FICA,586
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Personal Services,7105,Employers FICA,6693
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Capital Outlays,9760,Equipment,1000
FY17,Expense,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Debt Service,9910,Principal,111600
FY17,Revenue,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Taxes,4140,"Allowance for Refunds-BOR, MTT",-30000
FY17,Revenue,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Taxes,4140,"Allowance for Refunds-BOR, MTT",-7500
FY17,Revenue,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Taxes,4140,"Allowance for Refunds-BOR, MTT",-100000
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9210,Natural Gas,73542
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2040,Vital Streets Operating,Taxes,4382,City Income Tax Refunds,-1276315
FY17,Revenue,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Licenses & Permits,4790,Electrical License,30000
FY17,Revenue,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Licenses & Permits,4794,Builder Registrations,8000
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9340,Maintenance Service,10000
FY17,Revenue,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Contribution from Local Units,5804,Kent County-Misc & PSAP 911,1420500
FY17,Revenue,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Charges for Services,6131,Processing Fees,90000
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,3259
FY17,Revenue,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Charges for Services,6260,Service Fees-General,8100
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Personal Services,7115,Retiree Health Care-OPEB,17803
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,150272
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,165607
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,340446
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,47883
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,2000
FY17,Expense,Clerk's Office,Clerk,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,5000
FY17,Expense,Fiscal Services,Purchasing,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,1000
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Services and Charges,8510,Postage,1200
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Personal Services,7120,Retirement Fund Contribution,10306
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,1000
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,2060
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,55334
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,5000
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,4500
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,8550
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,316
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,977
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Personal Services,7135,Unemployment Compensation,121
FY17,Expense,Authorities,Tax Increment Financing Authority,1000,1000 - Administration,2470,Tax Increment Finance Authority,Personal Services,7135,Unemployment Compensation,6
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7135,Unemployment Compensation,10196
FY17,Expense,Administrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,80
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,9110,Other Travel & Training,2120
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Other Services and Charges,9110,Other Travel & Training,3000
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Personal Services,7135,Unemployment Compensation,729
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7165,Shift Differential,17000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Supplies,7520,Supplies,2000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,8400,Insurance Premiums,1392
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,15595
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,15326
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Services and Charges,8450,Claims,1310
FY17,Expense,Design & Development,Downtown Improvement District,1000,1000 - Administration,2484,DDA Local Tax Increment,Other Services and Charges,8450,Claims,20724
FY17,Expense,Retirement Activities,City Retirement System Office,1000,1000 - Administration,7050,City Retirement System Office,Personal Services,7110,Hospitalization Insurance,49173
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,174599
FY17,Expense,Police,Dispatch,1000,1000 - Administration,2610,Community Dispatch,Personal Services,7115,Retiree Health Care-OPEB,259950
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,9340,Maintenance Service,3000
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,380580
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9440,Fleet Management Equipment Charges,1552270
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,9450,311 Call Center Services,452
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,7074
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,12948
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,704628
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,210556
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,208013
FY17,Revenue,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,25300
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Capital Outlays,9760,Equipment,19000
FY17,Revenue,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6425,Electric Power Dist-Gas Aggregate,950000
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6431,Retail Metered Water Sales,34918555
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Financing,9951,Operating Trans Out-Subsidies,750000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Financing,9952,Operating Transfers-A87 Cost,54945
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Financing,9952,Operating Transfers-A87 Cost,12172
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Other Financing,9952,Operating Transfers-A87 Cost,21989
FY17,Expense,Design & Development,Downtown Improvement District,1000,1000 - Administration,2510,DID-General,Other Financing,9952,Operating Transfers-A87 Cost,34242
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2530,DNR Properties,Other Financing,9952,Operating Transfers-A87 Cost,685
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Other Financing,9952,Operating Transfers-A87 Cost,232501
FY17,Expense,Technology & Change Management,Information Technology,1000,1000 - Administration,6800,Information Technology-Operating,Other Financing,9952,Operating Transfers-A87 Cost,99966
FY17,Revenue,Authorities,Corridor Improvement Districts,1000,1000 - Administration,7814,West Side Corridor Improvement District,Taxes,4020,Real Property Taxes,14277
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Supplies,7520,Supplies,93349
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Supplies,7520,Supplies,20000
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Supplies,7910,Subscriptions and Publications,3000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2530,DNR Properties,Other Services and Charges,8010,Contractual Services,3500
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Other Services and Charges,8050,Subsidy,75000
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Other Services and Charges,8240,Fees,100
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2440,Economic Development,Other Services and Charges,8240,Fees,5200
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,9960
